gene_symbol	chrom	start	end	strand	ensembl_id
PGD	1	10398592	10420511	+	ENSG00000142657
CENPS-CORT	1	10430102	10452153	+	ENSG00000251503
CENPS	1	10430433	10442808	+	ENSG00000175279
CORT	1	10450031	10451998	+	ENSG00000241563
DFFA	1	10456522	10472549	-	ENSG00000160049
PEX14	1	10472288	10630758	+	ENSG00000142655
CASZ1	1	10636604	10796650	-	ENSG00000130940
CIROZ	1	10946471	10982076	-	ENSG00000175262
TARDBP	1	11012344	11030528	+	ENSG00000120948
MASP2	1	11022009	11047241	-	ENSG00000009724
SRM	1	11054584	11060053	-	ENSG00000116649
EXOSC10	1	11066613	11099898	-	ENSG00000171824
MTOR	1	11106531	11262556	-	ENSG00000198793
ANGPTL7	1	11189355	11195981	+	ENSG00000171819
UBIAD1	1	11273198	11296049	+	ENSG00000120942
DISP3	1	11478905	11537583	+	ENSG00000204624
FBXO2	1	11637018	11655785	-	ENSG00000116661
FBXO44	1	11650618	11663327	+	ENSG00000132879
MAD2L2	1	11657230	11692605	-	ENSG00000116670
FBXO6	1	11664189	11674354	+	ENSG00000116663
DRAXIN	1	11690958	11725857	+	ENSG00000162490
AGTRAP	1	11736084	11754802	+	ENSG00000177674
C1orf167	1	11761787	11789585	+	ENSG00000215910
MTHFR	1	11785723	11806455	-	ENSG00000177000
CLCN6	1	11806096	11848079	+	ENSG00000011021
NPPA	1	11845709	11848345	-	ENSG00000175206
NPPB	1	11857464	11858976	-	ENSG00000120937
KIAA2013	1	11919591	11926428	-	ENSG00000116685
PLOD1	1	11934205	11975542	+	ENSG00000083444
MFN2	1	11980181	12015211	+	ENSG00000116688
MIIP	1	12019466	12032046	+	ENSG00000116691
TNFRSF8	1	12063303	12144207	+	ENSG00000120949
TNFRSF1B	1	12166977	12209228	+	ENSG00000028137
VPS13D	1	12230030	12512047	+	ENSG00000048707
DHRS3	1	12567909	12620133	-	ENSG00000162496
AADACL4	1	12644085	12667076	+	ENSG00000204518
AADACL3	1	12716110	12728760	+	ENSG00000188984
CFAP107	1	12746200	12763699	+	ENSG00000157330
PRAMEF12	1	12773738	12777906	+	ENSG00000116726
PRAMEF1	1	12791397	12796628	+	ENSG00000116721
PRAMEF11	1	12824605	12831410	-	ENSG00000239810
HNRNPCL1	1	12847377	12848720	-	ENSG00000179172
PRAMEF2	1	12857086	12861909	+	ENSG00000120952
PRAMEF4	1	12879212	12886201	-	ENSG00000243073
PRAMEF10	1	12892250	12898270	-	ENSG00000187545
PRAMEF7	1	12916610	12920751	+	ENSG00000204510
PRAMEF6	1	12938472	12947580	-	ENSG00000232423
PRAMEF27	1	13049476	13056575	-	ENSG00000274764
HNRNPCL3	1	13060769	13062878	+	ENSG00000277058
PRAMEF25	1	13068677	13077884	+	ENSG00000229571
HNRNPCL2	1	13115488	13116854	-	ENSG00000275774
PRAMEF26	1	13148905	13158116	-	ENSG00000280267
HNRNPCL4	1	13163914	13165631	-	ENSG00000179412
PRAMEF9	1	13171848	13179459	+	ENSG00000204505
PRAMEF13	1	13196188	13201409	-	ENSG00000279169
PRAMEF18	1	13222695	13226154	-	ENSG00000279804
PRAMEF5	1	13254198	13263435	+	ENSG00000270601
PRAMEF8	1	13281304	13285137	-	ENSG00000182330
PRAMEF33	1	13303539	13308907	+	ENSG00000237700
PRAMEF15	1	13315581	13322598	+	ENSG00000204501
PRAMEF14	1	13341892	13347134	-	ENSG00000204481
PRAMEF19	1	13368431	13371947	-	ENSG00000204480
PRAMEF17	1	13389632	13392629	+	ENSG00000204479
PRAMEF20	1	13410450	13421328	+	ENSG00000204478
LRRC38	1	13474973	13514003	-	ENSG00000162494
PDPN	1	13583465	13617957	+	ENSG00000162493
PRDM2	1	13700188	13825079	+	ENSG00000116731
KAZN	1	13892792	15118043	+	ENSG00000189337
TMEM51	1	15152498	15220484	+	ENSG00000171729
FHAD1	1	15236521	15400283	+	ENSG00000142621
EFHD2	1	15409849	15430339	+	ENSG00000142634
CTRC	1	15438442	15449242	+	ENSG00000162438
CELA2A	1	15456728	15472091	+	ENSG00000142615
CELA2B	1	15465909	15491395	+	ENSG00000215704
CASP9	1	15490832	15526534	-	ENSG00000132906
DNAJC16	1	15526813	15592379	+	ENSG00000116138
AGMAT	1	15571699	15585078	-	ENSG00000116771
DDI2	1	15617458	15669044	+	ENSG00000197312
RSC1A1	1	15659713	15662033	+	ENSG00000215695
PLEKHM2	1	15681461	15734769	+	ENSG00000116786
SLC25A34	1	15736176	15741392	+	ENSG00000162461
TMEM82	1	15742499	15747982	+	ENSG00000162460
FBLIM1	1	15756604	15786594	+	ENSG00000162458
UQCRHL	1	15807169	15809348	-	ENSG00000233954
SPEN	1	15836095	15940456	+	ENSG00000065526
ZBTB17	1	15940403	15976132	-	ENSG00000116809
SRARP	1	16004236	16008807	+	ENSG00000183888
HSPB7	1	16014028	16020597	-	ENSG00000173641
CLCNKA	1	16018146	16034109	+	ENSG00000186510
CLCNKB	1	16040252	16057367	+	ENSG00000184908
FAM131C	1	16057769	16073651	-	ENSG00000185519
EPHA2	1	16124337	16156069	-	ENSG00000142627
ARHGEF19	1	16197854	16212893	-	ENSG00000142632
CPLANE2	1	16231692	16237183	-	ENSG00000132881
FBXO42	1	16246840	16352487	-	ENSG00000037637
SZRD1	1	16352575	16398147	+	ENSG00000055070
SPATA21	1	16387117	16437424	-	ENSG00000187144
NECAP2	1	16440707	16460081	+	ENSG00000157191
NBPF1	1	16562319	16613562	-	ENSG00000219481
CROCC	1	16740273	16972964	+	ENSG00000058453
MFAP2	1	16974498	16981616	-	ENSG00000117122
ATP13A2	1	16985958	17011928	-	ENSG00000159363
SDHB	1	17018664	17054151	-	ENSG00000117118
PADI2	1	17066761	17119459	-	ENSG00000117115
PADI1	1	17205128	17246007	+	ENSG00000142623
PADI3	1	17249098	17284233	+	ENSG00000142619
PADI4	1	17308195	17364004	+	ENSG00000159339
PADI6	1	17372196	17401699	+	ENSG00000276747
RCC2	1	17406755	17439772	-	ENSG00000179051
ARHGEF10L	1	17539368	17697876	+	ENSG00000074964
ACTL8	1	17755333	17827063	+	ENSG00000117148
IGSF21	1	18107710	18378483	+	ENSG00000117154
KLHDC7A	1	18480930	18485974	+	ENSG00000179023
PAX7	1	18630846	18748876	+	ENSG00000009709
TAS1R2	1	18839599	18859660	-	ENSG00000179002
ALDH4A1	1	18871425	18902799	-	ENSG00000159423
IFFO2	1	18904280	18956676	-	ENSG00000169991
UBR4	1	19074510	19210266	-	ENSG00000127481
EMC1	1	19215660	19251552	-	ENSG00000127463
MRTO4	1	19251796	19260128	+	ENSG00000053372
AKR7L	1	19265982	19274194	-	ENSG00000211454
AKR7A3	1	19282496	19288823	-	ENSG00000162482
AKR7A2	1	19301991	19312144	-	ENSG00000053371
SLC66A1	1	19312284	19329300	+	ENSG00000040487
CAPZB	1	19338775	19485600	-	ENSG00000077549
MICOS10	1	19484403	19629821	+	ENSG00000173436
NBL1	1	19596979	19658456	+	ENSG00000158747
MICOS10-NBL1	1	19597067	19656927	+	ENSG00000270136
HTR6	1	19664875	19680966	+	ENSG00000158748
TMCO4	1	19682207	19800500	-	ENSG00000162542
RNF186	1	19814029	19815283	-	ENSG00000178828
OTUD3	1	19882395	19912945	+	ENSG00000169914
PLA2G2E	1	19920009	19923617	-	ENSG00000188784
PLA2G2A	1	19975431	19980462	-	ENSG00000188257
PLA2G5	1	20028179	20091911	+	ENSG00000127472
PLA2G2D	1	20111939	20119566	-	ENSG00000117215
PLA2G2F	1	20139323	20150381	+	ENSG00000158786
PLA2G2C	1	20161253	20186518	-	ENSG00000187980
UBXN10	1	20183293	20196050	+	ENSG00000162543
VWA5B1	1	20290875	20359534	+	ENSG00000158816
CAMK2N1	1	20482391	20486210	-	ENSG00000162545
MUL1	1	20499445	20508151	-	ENSG00000090432
FAM43B	1	20552573	20555020	+	ENSG00000183114
CDA	1	20588932	20618908	+	ENSG00000158825
PINK1	1	20633458	20651511	+	ENSG00000158828
DDOST	1	20651767	20661544	-	ENSG00000244038
KIF17	1	20664011	20718017	-	ENSG00000117245
SH2D5	1	20719724	20732837	-	ENSG00000189410
HP1BP3	1	20739095	20787323	-	ENSG00000127483
EIF4G3	1	20806292	21177285	-	ENSG00000075151
ECE1	1	21217247	21345572	-	ENSG00000117298
NBPF3	1	21440099	21485005	+	ENSG00000142794
ALPL	1	21509397	21578410	+	ENSG00000162551
RAP1GAP	1	21596215	21669846	-	ENSG00000076864
USP48	1	21678298	21783606	-	ENSG00000090686
LDLRAD2	1	21812265	21825225	+	ENSG00000187942
HSPG2	1	21822244	21937310	-	ENSG00000142798
CELA3B	1	21977022	21998642	+	ENSG00000219073
CELA3A	1	22001657	22012542	+	ENSG00000142789
CDC42	1	22052627	22101360	+	ENSG00000070831
WNT4	1	22117313	22143969	-	ENSG00000162552
ZBTB40	1	22428838	22531157	+	ENSG00000184677
EPHA8	1	22563489	22603595	+	ENSG00000070886
C1QA	1	22635057	22639681	+	ENSG00000173372
C1QC	1	22642558	22648110	+	ENSG00000159189
C1QB	1	22652713	22661637	+	ENSG00000173369
EPHB2	1	22710839	22921500	+	ENSG00000133216
LACTBL1	1	22953043	22972866	-	ENSG00000215906
TEX46	1	23010834	23019100	-	ENSG00000227868
KDM1A	1	23019395	23083693	+	ENSG00000004487
LUZP1	1	23084030	23178152	-	ENSG00000169641
HTR1D	1	23190178	23217547	-	ENSG00000179546
HNRNPR	1	23303771	23344358	-	ENSG00000125944
ZNF436	1	23359448	23369836	-	ENSG00000125945
TCEA3	1	23370591	23425169	-	ENSG00000204219
ASAP3	1	23428561	23484637	-	ENSG00000088280
E2F2	1	23506438	23531233	-	ENSG00000007968
ID3	1	23557917	23559883	-	ENSG00000117318
RPL11	1	23691685	23696835	+	ENSG00000142676
ELOA	1	23743448	23762059	+	ENSG00000011007
PITHD1	1	23778393	23788232	+	ENSG00000057757
LYPLA2	1	23791110	23795544	+	ENSG00000011009
GALE	1	23795599	23800781	-	ENSG00000117308
HMGCL	1	23801877	23838620	-	ENSG00000117305
FUCA1	1	23845077	23868356	-	ENSG00000179163
CNR2	1	23870515	23913362	-	ENSG00000188822
PNRC2	1	23956839	23963776	+	ENSG00000189266
SRSF10	1	23964347	23980927	-	ENSG00000188529
MYOM3	1	24056035	24112190	-	ENSG00000142661
IL22RA1	1	24119771	24143165	-	ENSG00000142677
IFNLR1	1	24154168	24187959	-	ENSG00000185436
GRHL3	1	24199558	24364482	+	ENSG00000158055
STPG1	1	24355886	24416934	-	ENSG00000001460
NIPAL3	1	24413527	24476735	+	ENSG00000001461
RCAN3	1	24502340	24541040	+	ENSG00000117602
NCMAP	1	24556076	24609328	+	ENSG00000184454
SRRM1	1	24631716	24673281	+	ENSG00000133226
CLIC4	1	24745342	24844321	+	ENSG00000169504
RUNX3	1	24899511	24965121	-	ENSG00000020633
SYF2	1	25222276	25232504	-	ENSG00000117614
RSRP1	1	25242248	25338244	-	ENSG00000117616
RHD	1	25272393	25330445	+	ENSG00000187010
TMEM50A	1	25338295	25362362	+	ENSG00000183726
RHCE	1	25362249	25430192	-	ENSG00000188672
MACO1	1	25430853	25500209	+	ENSG00000204178
LDLRAP1	1	25543573	25591200	+	ENSG00000157978
MAN1C1	1	25616791	25786205	+	ENSG00000117643
SELENON	1	25800193	25818221	+	ENSG00000162430
MTFR1L	1	25818640	25832947	+	ENSG00000117640
AUNIP	1	25831913	25859458	-	ENSG00000127423
PAQR7	1	25861484	25875874	-	ENSG00000182749
STMN1	1	25884181	25907237	-	ENSG00000117632
PAFAH2	1	25959767	25999206	-	ENSG00000158006
EXTL1	1	26019884	26036464	+	ENSG00000158008
SLC30A2	1	26037252	26046136	-	ENSG00000158014
TRIM63	1	26051301	26068436	-	ENSG00000158022
PDIK1L	1	26111157	26125555	+	ENSG00000175087
FAM110D	1	26159047	26163962	+	ENSG00000197245
C1orf232	1	26164101	26168963	-	ENSG00000282872
ZNF593OS	1	26169516	26171832	-	ENSG00000236782
ZNF593	1	26169908	26170873	+	ENSG00000142684
CNKSR1	1	26177476	26189884	+	ENSG00000142675
CATSPER4	1	26190561	26202968	+	ENSG00000188782
CEP85	1	26233669	26278814	+	ENSG00000130695
SH3BGRL3	1	26280057	26281522	+	ENSG00000142669
UBXN11	1	26281328	26318363	-	ENSG00000158062
CD52	1	26317958	26320523	+	ENSG00000169442
CRYBG2	1	26321698	26360080	-	ENSG00000176092
ZNF683	1	26361634	26374522	-	ENSG00000176083
LIN28A	1	26410817	26429728	+	ENSG00000131914
DHDDS	1	26432282	26471322	+	ENSG00000117682
HMGN2	1	26472013	26478209	+	ENSG00000198830
RPS6KA1	1	26529756	26575030	+	ENSG00000117676
ARID1A	1	26693236	26782104	+	ENSG00000117713
PIGV	1	26787054	26800659	+	ENSG00000060642
ZDHHC18	1	26826688	26857604	+	ENSG00000204160
SFN	1	26863149	26864456	+	ENSG00000175793
GPN2	1	26876132	26890283	-	ENSG00000142751
GPATCH3	1	26890488	26900467	-	ENSG00000198746
NUDC	1	26900238	26946885	+	ENSG00000090273
NR0B2	1	26911489	26913975	-	ENSG00000131910
KDF1	1	26949556	26960788	-	ENSG00000175707
TRNP1	1	26993692	27001912	+	ENSG00000253368
TENT5B	1	27005020	27012850	-	ENSG00000158246
SLC9A1	1	27098809	27166981	-	ENSG00000090020
WDTC1	1	27233776	27308711	+	ENSG00000142784
TMEM222	1	27322139	27336401	+	ENSG00000186501
SYTL1	1	27342009	27353937	+	ENSG00000142765
MAP3K6	1	27355180	27366972	-	ENSG00000142733
FCN3	1	27369108	27374854	-	ENSG00000142748
CD164L2	1	27379176	27383333	-	ENSG00000174950
GPR3	1	27392622	27395814	+	ENSG00000181773
WASF2	1	27404226	27490308	-	ENSG00000158195
AHDC1	1	27534035	27604431	-	ENSG00000126705
FGR	1	27612064	27635565	-	ENSG00000000938
IFI6	1	27666064	27672212	-	ENSG00000126709
FAM76A	1	27725961	27763116	+	ENSG00000009780
STX12	1	27773195	27824443	+	ENSG00000117758
PPP1R8	1	27830782	27851676	+	ENSG00000117751
THEMIS2	1	27872543	27886685	+	ENSG00000130775
RPA2	1	27891524	27914746	-	ENSG00000117748
SMPDL3B	1	27935000	27959157	+	ENSG00000130768
XKR8	1	27959588	27968093	+	ENSG00000158156
EYA3	1	27970344	28088731	-	ENSG00000158161
PTAFR	1	28147166	28194083	-	ENSG00000169403
DNAJC8	1	28199456	28233032	-	ENSG00000126698
ATP5IF1	1	28236084	28246906	+	ENSG00000130770
SESN2	1	28259473	28282491	+	ENSG00000130766
MED18	1	28329002	28335965	+	ENSG00000130772
PHACTR4	1	28369563	28500364	+	ENSG00000204138
RCC1	1	28505943	28539300	+	ENSG00000180198
TRNAU1AP	1	28553001	28578545	+	ENSG00000180098
TAF12	1	28587829	28648364	-	ENSG00000120656
RAB42	1	28592200	28595449	+	ENSG00000188060
GMEB1	1	28668280	28719353	+	ENSG00000162419
YTHDF2	1	28736621	28769784	+	ENSG00000198492
OPRD1	1	28812170	28871267	+	ENSG00000116329
EPB41	1	28887091	29120046	+	ENSG00000159023
TMEM200B	1	29119429	29123918	-	ENSG00000253304
SRSF4	1	29147743	29181922	-	ENSG00000116350
MECR	1	29192657	29230945	-	ENSG00000116353
PTPRU	1	29236505	29326813	+	ENSG00000060656
MATN1	1	30711277	30723585	-	ENSG00000162510
LAPTM5	1	30732465	30757855	-	ENSG00000162511
SDC3	1	30869466	30908810	-	ENSG00000162512
PUM1	1	30931505	31065991	-	ENSG00000134644
NKAIN1	1	31179344	31239966	-	ENSG00000084628
SNRNP40	1	31259568	31296788	-	ENSG00000060688
ZCCHC17	1	31296982	31365527	+	ENSG00000121766
FABP3	1	31364010	31376850	-	ENSG00000121769
SERINC2	1	31409565	31434680	+	ENSG00000168528
TINAGL1	1	31576485	31587689	+	ENSG00000142910
HCRTR1	1	31617660	31632518	+	ENSG00000121764
PEF1	1	31629866	31644896	-	ENSG00000162517
COL16A1	1	31652260	31704319	-	ENSG00000084636
ADGRB2	1	31727117	31764893	-	ENSG00000121753
SPOCD1	1	31790422	31816022	-	ENSG00000134668
PTP4A2	1	31906421	31944856	-	ENSG00000184007
KHDRBS1	1	32013687	32060850	+	ENSG00000121774
TMEM39B	1	32072031	32102866	+	ENSG00000121775
KPNA6	1	32108056	32176563	+	ENSG00000025800
TXLNA	1	32178097	32198299	+	ENSG00000084652
CCDC28B	1	32200383	32205453	+	ENSG00000160050
IQCC	1	32205648	32208688	+	ENSG00000160051
DCDC2B	1	32209079	32216196	+	ENSG00000222046
TMEM234	1	32214472	32222359	-	ENSG00000160055
EIF3I	1	32221077	32245397	+	ENSG00000084623
FAM167B	1	32247222	32248856	+	ENSG00000183615
LCK	1	32251244	32286170	+	ENSG00000182866
HDAC1	1	32291921	32333635	+	ENSG00000116478
MARCKSL1	1	32333827	32336233	-	ENSG00000175130
TSSK3	1	32351521	32364312	+	ENSG00000162526
FAM229A	1	32361270	32364278	-	ENSG00000225828
BSDC1	1	32364633	32394731	-	ENSG00000160058
ZBTB8B	1	32465050	32496686	+	ENSG00000273274
ZBTB8A	1	32539142	32605941	+	ENSG00000160062
ZBTB8OS	1	32600172	32650969	-	ENSG00000176261
RBBP4	1	32651142	32686211	+	ENSG00000162521
SYNC	1	32679906	32703596	-	ENSG00000162520
NHSL3	1	32741696	32774970	+	ENSG00000162522
YARS1	1	32775237	32818031	-	ENSG00000134684
S100PBP	1	32816408	32858879	+	ENSG00000116497
FNDC5	1	32862268	32872482	-	ENSG00000160097
HPCA	1	32881498	32898441	+	ENSG00000121905
TMEM54	1	32894593	32901440	-	ENSG00000121900
RNF19B	1	32929036	32964915	-	ENSG00000116514
AK2	1	33007986	33080996	-	ENSG00000004455
AZIN2	1	33081104	33123492	+	ENSG00000142920
TRIM62	1	33145399	33182059	-	ENSG00000116525
ZNF362	1	33256359	33300719	+	ENSG00000160094
A3GALT2	1	33306766	33321098	-	ENSG00000184389
PHC2	1	33323623	33431095	-	ENSG00000134686
ZSCAN20	1	33472597	33501643	+	ENSG00000121903
CSMD2	1	33513998	34165842	-	ENSG00000121904
HMGB4	1	33860475	33864791	+	ENSG00000176256
C1orf94	1	34166883	34219131	+	ENSG00000142698
SMIM12	1	34712737	34859805	-	ENSG00000163866
GJB5	1	34755034	34758512	+	ENSG00000189280
GJB4	1	34759740	34763724	+	ENSG00000189433
GJB3	1	34781214	34786369	+	ENSG00000188910
GJA4	1	34792997	34795756	+	ENSG00000187513
DLGAP3	1	34865436	34929650	-	ENSG00000116544
TMEM35B	1	34981380	34985347	-	ENSG00000243749
ZMYM6	1	34986144	35031951	-	ENSG00000163867
ZMYM1	1	35032172	35118818	+	ENSG00000197056
SFPQ	1	35176378	35193446	-	ENSG00000116560
ZMYM4	1	35268667	35422058	+	ENSG00000146463
KIAA0319L	1	35393883	35557950	-	ENSG00000142687
NCDN	1	35557456	35567274	+	ENSG00000020129
TFAP2E	1	35573314	35595328	+	ENSG00000116819
PSMB2	1	35599541	35641526	-	ENSG00000126067
C1orf216	1	35713875	35718894	-	ENSG00000142686
CLSPN	1	35720218	35770002	-	ENSG00000092853
AGO4	1	35808016	35857890	+	ENSG00000134698
AGO1	1	35869808	35930532	+	ENSG00000092847
AGO3	1	35930696	36072500	+	ENSG00000126070
TEKT2	1	36084094	36088278	+	ENSG00000092850
ADPRS	1	36088878	36093932	+	ENSG00000116863
COL8A2	1	36095239	36125222	-	ENSG00000171812
TRAPPC3	1	36136570	36156053	-	ENSG00000054116
MAP7D1	1	36155579	36180849	+	ENSG00000116871
THRAP3	1	36224392	36305376	+	ENSG00000054118
SH3D21	1	36306368	36329340	+	ENSG00000214193
EVA1B	1	36322030	36324154	-	ENSG00000142694
STK40	1	36339620	36385927	-	ENSG00000196182
LSM10	1	36391238	36397945	-	ENSG00000181817
OSCP1	1	36415827	36450451	-	ENSG00000116885
MRPS15	1	36455718	36464418	-	ENSG00000116898
CSF3R	1	36465669	36483322	-	ENSG00000119535
GRIK3	1	36795527	37034515	-	ENSG00000163873
ZC3H12A	1	37474496	37484379	+	ENSG00000163874
MEAF6	1	37489993	37514806	-	ENSG00000163875
SNIP1	1	37534449	37554293	-	ENSG00000163877
DNALI1	1	37556919	37566857	+	ENSG00000163879
GNL2	1	37566815	37595955	-	ENSG00000134697
RSPO1	1	37610802	37635604	-	ENSG00000169218
AIRIM	1	37681570	37692296	-	ENSG00000116922
CDCA8	1	37692481	37709719	+	ENSG00000134690
EPHA10	1	37713880	37765133	-	ENSG00000183317
MANEAL	1	37793847	37804557	+	ENSG00000185090
YRDC	1	37802945	37808208	-	ENSG00000196449
C1orf122	1	37806979	37809454	+	ENSG00000197982
MTF1	1	37809574	37859614	-	ENSG00000188786
INPP5B	1	37860696	37947077	-	ENSG00000204084
SF3A3	1	37956975	37990517	-	ENSG00000183431
FHL3	1	37994394	38006380	-	ENSG00000183386
UTP11	1	38009111	38024820	+	ENSG00000183520
POU3F1	1	38043829	38046793	-	ENSG00000185668
RRAGC	1	38838198	38859772	-	ENSG00000116954
MYCBP	1	38862493	38873378	-	ENSG00000214114
